ID,Method,Method,Search Term,Category,Keywords,Reference(s)
17,Hi-C,Hi-C,Hi-C,chromatin interaction,,"Lieberman-Aiden, Erez, et al. ""Comprehensive mapping of long-range interactions reveals folding principles of the human genome."" science 326.5950 (2009): 289-293."
18,Chromatin interaction analysis by paired-end tag sequencing (ChIA-PET),ChIA-PET,ChIA-PET,chromatin interaction,long-range interactions,"Fullwood, Melissa J., and Yijun Ruan. ""ChIP_based methods for the identification of long_range chromatin interactions."" Journal of cellular biochemistry 107.1 (2009): 30-39."
19,RNA sequencing (RNA-Seq),RNA-Seq,RNA-Seq,RNA sequencing,Whole transcriptome; snapshot,"Mortazavi, Ali, et al. ""Mapping and quantifying mammalian transcriptomes by RNA-Seq."" Nature methods 5.7 (2008): 621-628."
20,RNA-immunoprecipitation sequencing (RIP-Seq),RIP-Seq,RIP-Seq,RNA sequencing,,"Zhao, Jing, et al. ""Genome-wide identification of polycomb-associated RNAs by RIP-seq."" Molecular cell 40.6 (2010): 939-953."
21,Crosslinking and immunoprecipitation sequencing (CLIP-Seq/HITS-CLIP),CLIP-Seq_HITS-CLIP,(CLIP-Seq OR HITS-CLIP),RNA sequencing,UV crosslinking,"Chi, Sung Wook, et al. ""Argonaute HITS-CLIP decodes microRNA_mRNA interaction maps."" Nature 460.7254 (2009): 479-486."
22,Transcript isoform sequencing (TIF-Seq) or Paired-end analysis of TSSS (PEAT),(PEAT,(PEAT AND (sequence OR sequencing)),RNA sequencing,tobacco acid pyrophosphatase,"Pelechano, Vicent, Wu Wei, and Lars M. Steinmetz. ""Extensive transcriptional heterogeneity revealed by isoform profiling."" Nature 497.7447 (2013): 127-131.  Ni, Ting, et al. ""A paired-end sequencing strategy to map the complex landscape of transcription initiation."" Nature methods 7.7 (2010): 521-527."
23,Transcript isoform sequencing (TIF-Seq) or Paired-end analysis of TSSS (PEAT),TIF-Seq,TIF-Seq,RNA sequencing,tobacco acid pyrophosphatase,"Pelechano, Vicent, Wu Wei, and Lars M. Steinmetz. ""Extensive transcriptional heterogeneity revealed by isoform profiling."" Nature 497.7447 (2013): 127-131.  Ni, Ting, et al. ""A paired-end sequencing strategy to map the complex landscape of transcription initiation."" Nature methods 7.7 (2010): 521-527."
24,Native elongating transcript sequencing (NET-Seq),NET-Seq,NET-Seq,RNA sequencing,3ê RNA,"Churchman, L. Stirling, and Jonathan S. Weissman. ""Nascent transcript sequencing visualizes transcription at nucleotide resolution."" Nature 469.7330 (2011): 368-373."
25,Global run-on sequencing (GRO-seq),GRO-seq,GRO-seq,RNA sequencing,RNA polymerase II,"Core, Leighton J., Joshua J. Waterfall, and John T. Lis. ""Nascent RNA sequencing reveals widespread pausing and divergent initiation at human promoters."" Science 322.5909 (2008): 1845-1848."
26,Precision run-on sequencing (PRO-seq),PRO-seq,PRO-seq,RNA sequencing,,"Kwak, Hojoong, et al. ""Precise maps of RNA polymerase reveal how promoters direct initiation and pausing."" Science 339.6122 (2013): 950-953."
27,Chromatin isolation by RNA purification (ChiRP-Seq),ChiRP-Seq,ChiRP-Seq,RNA sequencing,noncoding RNA,"Chu, Ci, et al. ""Genomic maps of long noncoding RNA occupancy reveal principles of RNA-chromatin interactions."" Molecular cell 44.4 (2011): 667-678."
28,Photoactivatable-ribonucleoside-enhanced crosslinking immunoprecipitation (PAR-CLIP),PAR-CLIP,PAR-CLIP,RNA sequencing,cultured cells,"Hafner, Markus, et al. ""Transcriptome-wide identification of RNA-binding protein and microRNA target sites by PAR-CLIP."" Cell 141.1 (2010): 129-141."
29,Flowcell reverse transcription sequencing (FRT-Seq),FRT-Seq,FRT-Seq,RNA sequencing,,"Mamanova, Lira, et al. ""FRT-seq: Amplification-free, strand-specific, transcriptome sequencing."" Nature methods 7.2 (2010): 130."
30,Parallel Analysis of RNA Structure (PARS-Seq),PARS,PARS AND RNA,RNA sequencing,,"Kertesz, Michael, et al. ""Genome-wide measurement of RNA secondary structure in yeast."" Nature 467.7311 (2010): 103-107."
31,Targeted purification of polysomal mRNA (TRAP-Seq),TRAP-Seq,TRAP-Seq,RNA sequencing,tagged ribosomal protein,"Jiao, Yuling, and Elliot M. Meyerowitz. ""Cell_type specific analysis of translating RNAs in developing flowers reveals new levels of control."" Molecular systems biology 6.1 (2010)."
32,Ribosome Profiling Sequencing (Ribo-Seq),Ribo-Seq,Ribo-Seq,RNA sequencing,translation,"Ingolia, Nicholas T., et al. ""Genome-wide analysis in vivo of translation with nucleotide resolution using ribosome profiling."" science 324.5924 (2009): 218-223."
33,Individual-nucleotide resolution Cross-Linking and ImmunoPrecipitation (iCLIP),iCLIP,iCLIP,RNA sequencing,,"K_nig, Julian, et al. ""iCLIP reveals the function of hnRNP particles in splicing at individual nucleotide resolution."" Nature structural & molecular biology 17.7 (2010): 909-915."
34,Selective 2ê-hydroxyl acylation analyzed by primer extension sequencing (SHAPE-Seq),SHAPE-Seq,SHAPE-Seq,RNA sequencing,RNA structure,"Lucks, Julius B., et al. ""Multiplexed RNA structure characterization with selective 2_-hydroxyl acylation analyzed by primer extension sequencing (SHAPE-Seq)."" Proceedings of the National Academy of Sciences 108.27 (2011): 11063-11068."
35,Fragmentation Sequencing (FragSeq),FragSeq,FragSeq,RNA sequencing,RNA structure; nuclease P1,"Underwood, Jason G., et al. ""FragSeq: transcriptome-wide RNA structure probing using high-throughput sequencing."" Nature methods 7.12 (2010): 995-1001."
36,Bisulfite sequencing (BS-Seq),BS-Seq,BS-Seq,DNA methylation,sodium bisulfite; methylated cytosine,"Frommer, Marianne, et al. ""A genomic sequencing protocol that yields a positive display of 5-methylcytosine residues in individual DNA strands."" Proceedings of the National Academy of Sciences 89.5 (1992): 1827-1831."
37,Whole-genome bisulfite sequencing (WGBS),WGBS,WGBS,DNA methylation,,"Cokus, Shawn J., et al. ""Shotgun bisulphite sequencing of the Arabidopsis genome reveals DNA methylation patterning."" Nature 452.7184 (2008): 215-219."
38,Reduced representation bisulfite sequencing (RRBS),RRBS,RRBS,DNA methylation,use of restriction enzymes,"Meissner, Alexander, et al. ""Reduced representation bisulfite sequencing for comparative high-resolution DNA methylation analysis."" Nucleic acids research33.18 (2005): 5868-5877."
39,Methylated DNA immunoprecipitation (MeDIP-Seq),MeDIP-Seq,MeDIP-Seq,DNA methylation,,"Down, Thomas A., et al. ""A Bayesian deconvolution strategy for immunoprecipitation-based DNA methylome analysis."" Nature biotechnology26.7 (2008): 779-785."
40,Methyl capture sequencing (MethylCap-seq),MethylCap-seq,MethylCap-seq,DNA methylation,MBD proteins,"Brinkman, Arie B., et al. ""Whole-genome DNA methylation profiling using MethylCap-seq."" Methods 52.3 (2010): 232-236."
41,Methylation-sensitive restriction enzyme sequencing (MRE-Seq),MRE-Seq,MRE-Seq,DNA methylation,,"Harris, R. Alan, et al. ""Comparison of sequencing-based methods to profile DNA methylation and identification of monoallelic epigenetic modifications."" Nature biotechnology 28.10 (2010): 1097-1105."
42,Oxidative BS sequencing (oxBS-Seq),oxBS-Seq,oxBS-Seq,DNA methylation,differentiates 5mC and 5hmC,"Booth, Michael J., et al. ""Oxidative bisulfite sequencing of 5-methylcytosine and 5-hydroxymethylcytosine."" Nature protocols 8.10 (2013): 1841-1851."
43,Methyl-CpG Immunoprecipitation (MCIp),MCIp,MCIp,DNA methylation,,"Gebhard, Claudia, et al. ""Genome-wide profiling of CpG methylation identifies novel targets of aberrant hypermethylation in myeloid leukemia."" Cancer research 66.12 (2006): 6118-6128."
44,Tet-assisted bisulfite sequencing (TAB-Seq),TAB-Seq,TAB-Seq,DNA methylation,Tet proteins; 5hmC,"Yu, Miao, et al. ""Base-resolution analysis of 5-hydroxymethylcytosine in the mammalian genome."" Cell 149.6 (2012): 1368-1380."
45,Infinium,Infinium,Infinium,DNA methylation,Bisulfite sequencing; pyrosequencing,"Weisenberger, D. J., et al. ""Comprehensive DNA methylation analysis on the Illumina Infinium assay platform."" Illumina, San Diego (2008)."
46,Sensitive melting analysis after real time - methylation specific PCR (SMART-MSP),SMART-MSP,SMART-MSP,DNA methylation,,"Kristensen, Lasse S., et al. ""Sensitive Melting Analysis after Real Time-Methylation Specific PCR (SMART-MSP): high-throughput and probe-free quantitative DNA methylation detection."" Nucleic acids research 36.7 (2008): e42."
47,Nanopore sequencing,Nanopore sequencing,Nanopore sequencing,DNA methylation,,"Flusberg, Benjamin A., et al. ""Direct detection of DNA methylation during single-molecule, real-time sequencing."" Nature methods 7.6 (2010): 461-465."
48,Multiple displacement amplification (MDA),MDA,MDA AND (sequence OR sequencing) AND (RNA OR DNA OR Protein) ,Single-cell DNA/RNA genomics,,"Jasmine, Farzana, et al. ""Whole-genome amplification enables accurate genotyping for microarray-based high-density single nucleotide polymorphism array."" Cancer Epidemiology Biomarkers & Prevention 17.12 (2008): 3499-3508."
49,Multiple annealing and looping_based amplification cycles (MALBAC),MALBAC,MALBAC,Single-cell DNA/RNA genomics,,"Zong, Chenghang, et al. ""Genome-wide detection of single-nucleotide and copy-number variations of a single human cell."" Science 338.6114 (2012): 1622-1626."
50,Single-molecule molecular inversion probes (smMIP),smMIP,smMIP,Single-cell DNA/RNA genomics,,"Hiatt, Joseph B., et al. ""Single molecule molecular inversion probes for targeted, high-accuracy detection of low-frequency variation."" Genome research 23.5 (2013): 843-854."
51,Whole-transcript amplification for single cells (Quartz-Seq),Quartz-Seq,Quartz-Seq,Single-cell DNA/RNA genomics,,"Sasagawa, Yohei, et al. ""Quartz-Seq: a highly reproducible and sensitive single-cell RNA sequencing method, reveals non-genetic gene-expression heterogeneity."" Genome Biol 14.4 (2013): R31."
52,Switch mechanism at the 5ê end of RNA templates (Smart-Seq),Smart-Seq,Smart-Seq,Single-cell DNA/RNA genomics,,"Yamaguchi, Shinpei, et al. ""Tet1 controls meiosis by regulating meiotic gene expression."" Nature 492.7429 (2012): 443-447."
53,Unique molecular identifiers (UMI),UMI,UMI,Single-cell DNA/RNA genomics,,"Kivioja, Teemu, et al. ""Counting absolute numbers of molecules using unique molecular identifiers."" Nature methods 9.1 (2012): 72-74."
